Date,Open,High,Low,Close,Adj Close,Volume
"Mar 26, 2025","8,300.00","8,650.00","8,275.00","8,525.00","8,525.00","283,104,600"
"Mar 25, 2025","8,075.00","8,150.00","8,000.00","8,050.00","8,050.00","136,341,700"
"Mar 24, 2025","7,825.00","8,100.00","7,625.00","7,950.00","7,950.00","331,836,800"
"Mar 21, 2025","8,275.00","8,275.00","7,900.00","7,900.00","7,900.00","377,916,400"
"Mar 20, 2025","8,450.00","8,475.00","8,350.00","8,375.00","8,125.00","152,917,300"
"Mar 19, 2025","8,300.00","8,400.00","8,225.00","8,325.00","8,076.49","214,108,200"
"Mar 18, 2025","8,500.00","8,550.00","8,075.00","8,300.00","8,052.24","417,305,700"
"Mar 17, 2025","8,750.00","8,775.00","8,550.00","8,600.00","8,343.28","151,365,700"
"Mar 14, 2025","8,800.00","8,925.00","8,750.00","8,750.00","8,488.81","111,397,800"
"Mar 13, 2025","9,150.00","9,175.00","8,975.00","8,975.00","8,707.09","83,030,700"
"Mar 12, 2025","9,025.00","9,125.00","8,975.00","9,125.00","8,852.61","87,968,900"
"Mar 11, 2025","8,950.00","9,050.00","8,875.00","8,925.00","8,658.58","109,295,600"
"Mar 10, 2025","8,750.00","8,975.00","8,725.00","8,925.00","8,658.58","97,652,100"
"Mar 7, 2025","9,000.00","9,000.00","8,925.00","8,925.00","8,658.58","82,295,300"
"Mar 6, 2025","9,200.00","9,200.00","8,975.00","8,975.00","8,707.09","96,270,100"
"Mar 5, 2025","8,825.00","9,175.00","8,825.00","9,000.00","8,731.34","155,207,900"
"Mar 4, 2025","8,900.00","8,925.00","8,675.00","8,850.00","8,585.82","125,418,500"
"Mar 3, 2025","8,600.00","8,900.00","8,550.00","8,800.00","8,537.31","192,944,300"
"Feb 28, 2025","8,525.00","8,675.00","8,425.00","8,425.00","8,173.51","293,095,000"
"Feb 27, 2025","8,800.00","8,800.00","8,500.00","8,525.00","8,270.52","199,991,600"
"Feb 26, 2025","8,800.00","8,900.00","8,725.00","8,775.00","8,513.06","117,843,500"
"Feb 25, 2025","8,900.00","9,000.00","8,825.00","8,825.00","8,561.57","101,592,700"
"Feb 24, 2025","8,925.00","8,975.00","8,875.00","8,925.00","8,658.58","108,530,300"
"Feb 21, 2025","8,950.00","9,000.00","8,925.00","9,000.00","8,731.34","106,054,700"
"Feb 20, 2025","8,975.00","9,025.00","8,950.00","9,000.00","8,731.34","119,260,800"
"Feb 19, 2025","9,225.00","9,250.00","8,950.00","8,950.00","8,682.84","154,438,200"
"Feb 18, 2025","9,325.00","9,575.00","9,250.00","9,300.00","9,022.39","107,318,300"
"Feb 17, 2025","8,975.00","9,325.00","8,975.00","9,325.00","9,046.64","89,096,400"
"Feb 14, 2025","9,000.00","9,075.00","8,950.00","8,975.00","8,707.09","116,274,500"
"Feb 13, 2025","9,100.00","9,150.00","9,000.00","9,000.00","8,731.34","90,439,700"
"Feb 12, 2025","8,950.00","9,150.00","8,950.00","9,150.00","8,876.87","121,172,600"
"Feb 11, 2025","9,025.00","9,100.00","9,000.00","9,075.00","8,804.10","71,188,300"
"Feb 10, 2025","9,025.00","9,250.00","9,025.00","9,150.00","8,876.87","76,209,100"
"Feb 7, 2025","8,950.00","9,350.00","8,825.00","9,350.00","9,070.90","131,162,200"
"Feb 6, 2025","9,075.00","9,100.00","8,850.00","8,950.00","8,682.84","171,477,800"
"Feb 5, 2025","9,100.00","9,175.00","9,100.00","9,125.00","8,852.61","98,229,900"
"Feb 4, 2025","9,350.00","9,400.00","9,175.00","9,175.00","8,901.12","94,607,700"
"Feb 3, 2025","9,400.00","9,400.00","9,225.00","9,350.00","9,070.90","90,439,900"
"Jan 31, 2025","9,250.00","9,500.00","9,225.00","9,450.00","9,167.91","112,982,800"
"Jan 30, 2025","9,150.00","9,275.00","9,150.00","9,150.00","8,876.87","154,645,800"
"Jan 24, 2025","9,625.00","9,650.00","9,350.00","9,350.00","9,070.90","152,057,000"
"Jan 23, 2025","9,600.00","9,750.00","9,600.00","9,600.00","9,313.43","120,515,400"
"Jan 22, 2025","9,650.00","9,675.00","9,575.00","9,600.00","9,313.43","90,154,800"
"Jan 21, 2025","9,600.00","9,675.00","9,550.00","9,575.00","9,289.18","124,547,900"
"Jan 20, 2025","9,850.00","9,875.00","9,625.00","9,625.00","9,337.69","112,111,200"
"Jan 17, 2025","9,750.00","9,900.00","9,650.00","9,900.00","9,604.48","71,033,100"
"Jan 16, 2025","9,850.00","9,925.00","9,750.00","9,750.00","9,458.96","76,979,000"
"Jan 15, 2025","9,575.00","9,800.00","9,550.00","9,800.00","9,507.46","77,098,000"
"Jan 14, 2025","9,600.00","9,725.00","9,525.00","9,525.00","9,240.67","70,942,600"
"Jan 13, 2025","9,625.00","9,725.00","9,625.00","9,675.00","9,386.19","88,270,100"
"Jan 10, 2025","9,800.00","9,925.00","9,725.00","9,725.00","9,434.70","72,531,300"
"Jan 9, 2025","9,750.00","9,875.00","9,725.00","9,850.00","9,555.97","42,733,800"
"Jan 8, 2025","9,675.00","9,775.00","9,575.00","9,675.00","9,386.19","55,943,100"
"Jan 7, 2025","9,675.00","9,725.00","9,525.00","9,525.00","9,240.67","71,318,600"
"Jan 6, 2025","9,850.00","9,875.00","9,650.00","9,675.00","9,386.19","41,593,900"
"Jan 3, 2025","9,850.00","9,925.00","9,825.00","9,850.00","9,555.97","41,916,000"
"Jan 2, 2025","9,650.00","9,900.00","9,650.00","9,900.00","9,604.48","38,124,800"
"Dec 30, 2024","9,800.00","9,825.00","9,675.00","9,675.00","9,386.19","56,350,100"
"Dec 27, 2024","9,800.00","9,825.00","9,725.00","9,800.00","9,507.46","24,016,700"
"Dec 24, 2024","9,850.00","9,900.00","9,750.00","9,750.00","9,458.96","32,415,700"
"Dec 23, 2024","9,700.00","9,850.00","9,700.00","9,775.00","9,483.21","43,292,100"
"Dec 20, 2024","9,650.00","9,750.00","9,625.00","9,650.00","9,361.94","91,576,900"
"Dec 19, 2024","9,700.00","9,775.00","9,550.00","9,675.00","9,386.19","104,254,100"
"Dec 18, 2024","9,900.00","10,025.00","9,800.00","9,800.00","9,507.46","84,868,500"
"Dec 17, 2024","9,950.00","10,050.00","9,900.00","9,900.00","9,604.48","99,845,900"
"Dec 16, 2024","10,000.00","10,125.00","10,000.00","10,100.00","9,798.51","57,746,100"
"Dec 13, 2024","10,125.00","10,225.00","10,025.00","10,050.00","9,750.00","75,126,400"
"Dec 12, 2024","10,300.00","10,375.00","10,175.00","10,175.00","9,871.27","44,780,100"
"Dec 11, 2024","10,225.00","10,425.00","10,225.00","10,425.00","10,113.81","37,934,300"
"Dec 10, 2024","10,325.00","10,350.00","10,275.00","10,350.00","10,041.04","61,230,400"
"Dec 9, 2024","10,025.00","10,350.00","10,000.00","10,350.00","10,041.04","64,458,400"
"Dec 6, 2024","10,100.00","10,175.00","10,050.00","10,075.00","9,774.25","68,247,200"
"Dec 5, 2024","10,250.00","10,350.00","10,225.00","10,250.00","9,944.03","96,904,400"
"Dec 4, 2024","10,175.00","10,250.00","10,050.00","10,200.00","9,895.52","97,876,300"
"Dec 3, 2024","10,025.00","10,225.00","9,900.00","10,200.00","9,895.52","126,087,100"
"Dec 2, 2024","10,000.00","10,050.00","9,750.00","9,750.00","9,458.96","87,879,600"
"Nov 29, 2024","10,000.00","10,100.00","9,950.00","10,000.00","9,701.49","76,886,000"
"Nov 28, 2024","9,975.00","10,075.00","9,925.00","10,000.00","9,701.49","57,443,500"
"Nov 26, 2024","10,250.00","10,250.00","10,000.00","10,000.00","9,701.49","62,310,100"
"Nov 25, 2024","9,950.00","10,200.00","9,900.00","10,175.00","9,871.27","165,369,400"
"Nov 22, 2024","9,925.00","9,950.00","9,850.00","9,850.00","9,555.97","58,396,100"
"Nov 21, 2024","10,000.00","10,000.00","9,850.00","9,850.00","9,555.97","93,181,200"
"Nov 20, 2024","10,025.00","10,150.00","10,000.00","10,075.00","9,725.75","58,584,400"
"Nov 19, 2024","9,900.00","10,025.00","9,900.00","9,925.00","9,580.95","85,295,300"
"Nov 18, 2024","10,075.00","10,125.00","10,000.00","10,000.00","9,653.35","65,716,200"
"Nov 15, 2024","10,050.00","10,275.00","10,050.00","10,175.00","9,822.28","63,598,200"
"Nov 14, 2024","10,125.00","10,175.00","10,050.00","10,100.00","9,749.88","56,381,400"
"Nov 13, 2024","10,225.00","10,250.00","10,150.00","10,150.00","9,798.15","62,933,100"
"Nov 12, 2024","10,100.00","10,225.00","10,000.00","10,150.00","9,798.15","80,378,500"
"Nov 11, 2024","9,800.00","10,050.00","9,800.00","10,050.00","9,701.61","128,707,600"
"Nov 8, 2024","10,200.00","10,225.00","10,050.00","10,075.00","9,725.75","92,166,100"
